"flag","gender","education","house_val","age","online","customer_psy","marriage","child","occupation","mortgage","house_owner","region","fam_income"
"N","F","0. <HS",192439,"3_<=35","Y","E","","N","Blue Collar","2Med","Owner","South","G"
"N","M","2. Some College",273372,"2_<=25","Y","B","","N","Sales/Service","1Low","Owner","South","G"
"Y","M","3. Bach",377815,"6_<=65","N","B","Married","N","Professional","1Low","Owner","Midwest","C"
"Y","M","1. HS",1311815,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","West","K"
"N","F","2. Some College",384732,"5_<=55","Y","E","","U","Professional","3High","Owner","Midwest","F"
"N","M","4. Grad",0,"5_<=55","Y","G","Married","Y","Sales/Service","1Low","","South","E"
"Y","M","4. Grad",396270,"6_<=65","Y","C","","U","Professional","1Low","Owner","Midwest","H"
"Y","F","2. Some College",65225,"7_>65","N","I","","N","Professional","1Low","Renter","Midwest","H"
"Y","F","1. HS",84000,"3_<=35","Y","F","","Y","Sales/Service","1Low","Owner","Northeast","E"
"N","F","1. HS",82491,"7_>65","N","I","","N","Retired","1Low","Owner","South","D"
"N","F","2. Some College",320590,"1_Unk","Y","C","Married","U","Sales/Service","1Low","Owner","South","I"
"Y","M","4. Grad",1500000,"6_<=65","Y","A","","U","Sales/Service","1Low","Renter","West","D"
"N","F","1. HS",259834,"3_<=35","N","C","Married","Y","Blue Collar","3High","Owner","Northeast","F"
"Y","F","3. Bach",216223,"5_<=55","Y","D","Single","U","Sales/Service","1Low","Owner","Midwest","E"
"Y","M","3. Bach",364114,"7_>65","Y","B","","N","Professional","1Low","Owner","South","H"
"N","M","3. Bach",116957,"7_>65","Y","D","Married","N","Retired","1Low","Owner","West","B"
"Y","M","4. Grad",649527,"3_<=35","Y","B","Married","U","Professional","3High","Owner","West","D"
"Y","F","3. Bach",579727,"4_<=45","Y","B","Married","Y","Professional","1Low","","Midwest","J"
"N","F","2. Some College",92130,"3_<=35","Y","D","","N","Blue Collar","1Low","Owner","South","E"
"Y","F","4. Grad",370703,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Midwest","F"
"Y","M","2. Some College",88233,"6_<=65","N","I","","N","Sales/Service","1Low","Renter","South","E"
"N","F","0. <HS",415514,"7_>65","Y","B","","U","Retired","1Low","Owner","Midwest","K"
"N","F","2. Some College",0,"1_Unk","Y","G","","Y","Retired","1Low","Renter","Northeast","C"
"N","M","4. Grad",138925,"3_<=35","N","F","Married","Y","Blue Collar","1Low","Renter","South","E"
"N","F","3. Bach",305581,"7_>65","N","B","Married","N","Retired","1Low","Owner","West","G"
"Y","M","4. Grad",228900,"4_<=45","Y","E","","Y","Professional","2Med","Owner","Midwest","F"
"Y","F","3. Bach",179850,"1_Unk","Y","E","Married","U","Sales/Service","2Med","Owner","South","G"
"Y","M","1. HS",214097,"5_<=55","Y","B","Married","U","Farm","1Low","Owner","Midwest","G"
"Y","F","2. Some College",0,"4_<=45","Y","E","Married","U","Professional","1Low","Owner","Midwest","G"
"N","M","2. Some College",0,"5_<=55","N","G","Married","U","Sales/Service","1Low","Renter","South","D"
"Y","M","3. Bach",466193,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","West","G"
"N","F","1. HS",119900,"6_<=65","N","D","","N","Professional","1Low","Owner","West","H"
"N","F","1. HS",154289,"6_<=65","Y","J","","N","Sales/Service","1Low","Owner","Midwest","C"
"Y","M","0. <HS",295826,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Northeast","E"
"Y","M","1. HS",1041822,"6_<=65","Y","G","Married","N","Blue Collar","1Low","Renter","West","C"
"N","U","4. Grad",130255,"1_Unk","N","G","Single","N","Sales/Service","1Low","Owner","Midwest","B"
"Y","M","4. Grad",989916,"5_<=55","Y","B","Married","N","Professional","1Low","Owner","South","I"
"N","M","0. <HS",213204,"1_Unk","N","C","Married","U","Blue Collar","1Low","Owner","South","A"
"Y","M","3. Bach",379102,"5_<=55","Y","B","Married","U","Sales/Service","3High","Owner","Midwest","G"
"Y","M","2. Some College",335720,"1_Unk","N","E","Married","Y","Sales/Service","1Low","Owner","Midwest","E"
"Y","M","0. <HS",0,"4_<=45","N","G","Single","Y","Blue Collar","1Low","Renter","West","D"
"Y","F","3. Bach",383719,"4_<=45","Y","B","Married","Y","Professional","1Low","","South","J"
"N","F","0. <HS",0,"6_<=65","N","J","","N","Sales/Service","1Low","Owner","South","B"
"Y","M","4. Grad",170575,"1_Unk","Y","C","Married","Y","Professional","2Med","Owner","South","E"
"Y","M","2. Some College",283563,"4_<=45","Y","C","Married","Y","Sales/Service","2Med","Owner","South","D"
"Y","F","3. Bach",0,"4_<=45","Y","B","Married","N","Others","1Low","Owner","South","F"
"N","F","2. Some College",36624,"2_<=25","Y","F","","Y","Blue Collar","1Low","Renter","Midwest","F"
"N","M","4. Grad",245500,"3_<=35","Y","E","","N","Professional","1Low","Owner","Northeast","E"
"Y","M","1. HS",0,"3_<=35","Y","J","Married","U","Blue Collar","1Low","","South","D"
"Y","F","1. HS",129611,"2_<=25","Y","E","","Y","Blue Collar","1Low","Owner","Midwest","E"
"Y","F","2. Some College",330291,"3_<=35","Y","B","","Y","Professional","3High","Owner","Northeast","F"
"Y","M","3. Bach",108780,"5_<=55","Y","I","Married","U","Sales/Service","1Low","Owner","Midwest","C"
"Y","F","3. Bach",0,"6_<=65","Y","E","Married","N","Professional","1Low","Owner","Midwest","E"
"Y","M","3. Bach",178063,"6_<=65","Y","G","Single","N","Professional","1Low","Renter","Northeast","F"
"Y","M","2. Some College",0,"1_Unk","N","E","Single","U","Blue Collar","1Low","Renter","South","F"
"Y","M","3. Bach",410058,"3_<=35","Y","B","Single","N","Sales/Service","3High","Owner","South","I"
"N","F","1. HS",144207,"6_<=65","N","H","","U","Sales/Service","1Low","","South","C"
"N","M","2. Some College",194679,"7_>65","Y","I","Married","N","Retired","1Low","Owner","South","H"
"Y","M","1. HS",243157,"5_<=55","Y","B","Married","U","Blue Collar","1Low","Owner","South","F"
"Y","M","4. Grad",745156,"6_<=65","N","B","","Y","Professional","1Low","Owner","South","J"
"N","M","3. Bach",177888,"6_<=65","Y","E","Married","N","Retired","1Low","Owner","South","F"
"Y","M","3. Bach",386677,"4_<=45","Y","C","Married","U","Professional","3High","Owner","West","D"
"Y","F","4. Grad",463032,"4_<=45","Y","B","","Y","Professional","3High","Owner","South","K"
"Y","M","3. Bach",207991,"5_<=55","N","C","Married","Y","Blue Collar","2Med","Owner","Midwest","E"
"Y","M","1. HS",0,"4_<=45","Y","E","Married","Y","Professional","1Low","","West","G"
"N","M","1. HS",230327,"6_<=65","Y","E","Married","N","Professional","1Low","Owner","West","C"
"Y","F","1. HS",125350,"6_<=65","N","E","","U","Others","1Low","Owner","Northeast","E"
"N","F","1. HS",237390,"7_>65","Y","F","","Y","Retired","1Low","Renter","Northeast","E"
"N","M","0. <HS",109872,"5_<=55","N","F","Married","Y","Blue Collar","1Low","Owner","South","D"
"Y","M","2. Some College",562025,"5_<=55","Y","C","Married","Y","Professional","1Low","Owner","South","J"
"N","F","3. Bach",0,"4_<=45","Y","E","Married","U","Professional","1Low","Owner","Northeast","F"
"N","F","2. Some College",161865,"6_<=65","Y","D","Married","Y","Professional","1Low","Owner","Midwest","F"
"Y","F","0. <HS",241031,"7_>65","N","B","Married","N","Retired","1Low","Owner","South","K"
"N","M","1. HS",237881,"7_>65","Y","E","Married","N","Retired","1Low","Owner","South","E"
"N","M","1. HS",22624,"4_<=45","Y","I","","Y","Blue Collar","1Low","Renter","South","D"
"Y","F","3. Bach",0,"3_<=35","N","E","","N","Blue Collar","1Low","Renter","Northeast","D"
"N","F","2. Some College",925410,"7_>65","N","G","Single","N","Retired","2Med","Owner","South","C"
"Y","M","2. Some College",518404,"3_<=35","Y","C","Married","U","Professional","1Low","Owner","South","J"
"N","F","2. Some College",95920,"6_<=65","Y","F","Married","Y","Sales/Service","1Low","Owner","Northeast","E"
"Y","F","3. Bach",146343,"3_<=35","Y","C","Married","Y","Professional","1Low","","Midwest","G"
"Y","M","0. <HS",285525,"4_<=45","Y","C","Married","U","Blue Collar","1Low","Owner","South","E"
"Y","M","3. Bach",339725,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","Midwest","H"
"Y","M","3. Bach",305745,"6_<=65","Y","B","","N","Professional","1Low","Owner","South","G"
"Y","M","3. Bach",383680,"4_<=45","Y","C","Married","Y","Others","1Low","Owner","Midwest","K"
"N","U","0. <HS",0,"1_Unk","N","G","Single","Y","Others","1Low","","South","A"
"Y","M","1. HS",359046,"3_<=35","Y","C","","Y","Professional","2Med","Owner","South","H"
"Y","M","0. <HS",312448,"7_>65","N","C","","Y","Professional","1Low","","Midwest","F"
"N","F","1. HS",221052,"4_<=45","N","G","Married","N","Sales/Service","1Low","Renter","Midwest","A"
"Y","M","3. Bach",342434,"5_<=55","Y","B","Married","N","Blue Collar","3High","Owner","Northeast","G"
"Y","M","3. Bach",259465,"5_<=55","Y","C","Married","Y","Blue Collar","3High","Owner","Midwest","F"
"Y","F","1. HS",153548,"6_<=65","Y","D","Married","N","Retired","2Med","Owner","West","E"
"N","F","4. Grad",0,"1_Unk","Y","F","Married","U","Sales/Service","1Low","","Northeast","E"
"N","F","3. Bach",149013,"4_<=45","Y","F","Married","N","Sales/Service","1Low","Renter","South","G"
"N","M","4. Grad",1069159,"6_<=65","N","B","Married","N","Professional","3High","Owner","Midwest","K"
"Y","M","2. Some College",2025765,"4_<=45","Y","B","","Y","Professional","1Low","Owner","South","J"
"Y","F","1. HS",0,"4_<=45","Y","I","Married","U","Blue Collar","1Low","Owner","Midwest","E"
"N","M","2. Some College",0,"2_<=25","Y","E","","U","Blue Collar","1Low","","West","D"
"N","F","0. <HS",0,"1_Unk","N","G","Single","U","Blue Collar","1Low","","South","B"
"Y","F","2. Some College",924320,"5_<=55","N","B","Married","Y","Professional","3High","Owner","Northeast","B"
"N","M","4. Grad",173600,"7_>65","Y","D","","N","Retired","1Low","Renter","Midwest","D"
"N","M","1. HS",261861,"2_<=25","Y","C","","Y","Blue Collar","1Low","Owner","South","F"
"N","F","2. Some College",182760,"1_Unk","N","E","","U","Sales/Service","1Low","Owner","South","B"
"N","F","1. HS",99120,"4_<=45","Y","F","Single","N","Professional","1Low","","Midwest","D"
"Y","M","0. <HS",129982,"7_>65","Y","F","","Y","Retired","1Low","Owner","Northeast","F"
"Y","M","2. Some College",0,"4_<=45","Y","C","Married","U","Professional","1Low","Owner","Midwest","E"
"N","F","4. Grad",421110,"3_<=35","Y","C","","Y","Professional","2Med","Owner","Midwest","G"
"Y","M","3. Bach",192640,"1_Unk","N","F","Married","U","Others","1Low","Owner","South","D"
"N","F","1. HS",90677,"7_>65","Y","F","","Y","Retired","1Low","Owner","South","D"
"Y","M","1. HS",382590,"7_>65","Y","D","Married","N","Retired","1Low","Owner","Midwest","F"
"N","F","1. HS",141612,"5_<=55","N","E","","N","Sales/Service","1Low","Owner","South","G"
"Y","M","2. Some College",170352,"6_<=65","Y","F","Married","Y","Professional","1Low","Owner","South","D"
"Y","M","3. Bach",0,"3_<=35","Y","U","","0","Professional","1Low","","South","U"
"Y","M","3. Bach",1066674,"5_<=55","N","E","Married","U","Sales/Service","1Low","Renter","Northeast","L"
"N","M","2. Some College",429678,"2_<=25","Y","E","","Y","Sales/Service","1Low","Owner","Northeast","J"
"N","F","1. HS",12524,"3_<=35","Y","E","Single","Y","Sales/Service","1Low","Renter","Northeast","D"
"Y","F","2. Some College",202347,"5_<=55","Y","C","","N","Professional","1Low","Owner","Midwest","F"
"N","M","1. HS",122298,"1_Unk","N","G","","U","Sales/Service","1Low","Renter","South","A"
"N","M","1. HS",294823,"5_<=55","Y","E","","Y","Professional","1Low","Owner","West","E"
"N","M","2. Some College",0,"5_<=55","N","G","Single","Y","Sales/Service","1Low","Renter","South","E"
"N","F","3. Bach",549534,"7_>65","Y","D","Married","N","Retired","1Low","Owner","South","D"
"Y","M","1. HS",172656,"4_<=45","Y","F","Married","Y","Blue Collar","1Low","Owner","South","F"
"Y","M","2. Some College",263845,"4_<=45","Y","H","","N","Blue Collar","2Med","Owner","South","E"
"Y","M","3. Bach",1115070,"4_<=45","Y","B","Married","N","Professional","3High","Owner","West","F"
"N","M","3. Bach",94088,"6_<=65","Y","B","Married","N","Sales/Service","1Low","Owner","South","G"
"Y","M","0. <HS",116550,"4_<=45","Y","E","Married","Y","Professional","1Low","Owner","Midwest","G"
"Y","M","2. Some College",0,"6_<=65","N","A","Married","Y","Others","1Low","Renter","South","E"
"Y","M","1. HS",0,"6_<=65","Y","J","Married","N","Sales/Service","1Low","Owner","Midwest","C"
"Y","M","3. Bach",397795,"5_<=55","Y","B","Married","U","Professional","3High","Owner","West","G"
"N","F","2. Some College",0,"7_>65","N","F","Married","Y","Retired","1Low","","South","E"
"N","M","",0,"4_<=45","N","E","","Y","Blue Collar","1Low","Renter","Midwest","B"
"N","F","2. Some College",58075,"6_<=65","Y","G","Single","N","Others","1Low","Renter","West","E"
"N","U","2. Some College",76579,"4_<=45","N","G","","Y","Sales/Service","1Low","Owner","South","C"
"Y","F","3. Bach",1327140,"6_<=65","Y","B","Married","N","Professional","2Med","Owner","South","K"
"N","M","2. Some College",0,"4_<=45","N","E","Married","U","Blue Collar","1Low","Renter","South","B"
"N","M","3. Bach",440796,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","South","H"
"Y","M","4. Grad",0,"5_<=55","Y","C","Married","Y","Professional","1Low","","South","H"
"Y","M","3. Bach",0,"1_Unk","Y","E","Married","U","Others","1Low","Owner","Rest","B"
"Y","M","2. Some College",28067,"5_<=55","Y","I","Married","Y","Blue Collar","1Low","Owner","South","G"
"N","F","2. Some College",118243,"2_<=25","Y","J","","Y","Blue Collar","1Low","Owner","South","D"
"Y","M","3. Bach",1366315,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","West","I"
"N","F","2. Some College",0,"3_<=35","N","G","","Y","Blue Collar","1Low","Renter","South","H"
"N","F","1. HS",154507,"6_<=65","Y","D","Married","N","Professional","1Low","Owner","Midwest","K"
"N","M","3. Bach",0,"4_<=45","N","A","","N","Others","1Low","Renter","Northeast","A"
"Y","F","3. Bach",1186710,"6_<=65","Y","B","Married","N","Professional","3High","Owner","West","G"
"N","F","1. HS",1000000,"6_<=65","N","G","","N","Professional","1Low","Renter","Northeast","A"
"Y","M","1. HS",493061,"4_<=45","N","B","Married","Y","Sales/Service","1Low","Owner","Northeast","E"
"N","F","3. Bach",669266,"3_<=35","Y","B","Married","U","Professional","1Low","Renter","South","L"
"Y","F","2. Some College",277590,"5_<=55","Y","C","Married","Y","Professional","3High","Owner","West","F"
"N","F","1. HS",62511,"3_<=35","N","F","","Y","Sales/Service","1Low","","Midwest","D"
"N","F","4. Grad",480722,"6_<=65","Y","B","Married","Y","Professional","2Med","Owner","West","J"
"N","F","3. Bach",338014,"1_Unk","Y","G","Single","U","Sales/Service","1Low","Renter","Midwest","E"
"N","F","2. Some College",131617,"2_<=25","Y","F","","Y","Sales/Service","1Low","Owner","South","F"
"Y","M","1. HS",458606,"7_>65","Y","E","","U","Retired","1Low","","Northeast","H"
"N","F","2. Some College",125938,"4_<=45","Y","C","Married","U","Sales/Service","1Low","Owner","West","E"
"Y","M","2. Some College",179300,"4_<=45","Y","C","Married","Y","Professional","2Med","Owner","West","F"
"Y","M","4. Grad",140228,"6_<=65","Y","I","Single","N","Professional","2Med","Owner","Midwest","F"
"N","F","2. Some College",206162,"1_Unk","N","A","Single","U","Sales/Service","2Med","Owner","Northeast","F"
"Y","M","4. Grad",262962,"7_>65","Y","B","Married","N","Professional","1Low","Owner","South","F"
"N","M","3. Bach",481758,"6_<=65","N","F","Married","Y","Blue Collar","2Med","Owner","West","E"
"N","F","1. HS",171378,"7_>65","Y","B","Married","N","Retired","2Med","Owner","Midwest","F"
"Y","F","2. Some College",98209,"7_>65","Y","F","","Y","Retired","1Low","Owner","South","D"
"Y","M","1. HS",223635,"6_<=65","Y","B","Married","N","Blue Collar","1Low","Owner","Northeast","H"
"Y","F","0. <HS",0,"3_<=35","N","C","","Y","Sales/Service","1Low","","South","G"
"Y","F","3. Bach",284762,"3_<=35","Y","C","","Y","Sales/Service","2Med","Owner","South","G"
"Y","M","3. Bach",0,"6_<=65","Y","G","Single","N","Sales/Service","1Low","Renter","Northeast","C"
"Y","F","3. Bach",517510,"6_<=65","Y","B","","Y","Professional","2Med","Owner","South","H"
"N","M","1. HS",806872,"2_<=25","Y","B","","N","Sales/Service","3High","Owner","South","L"
"N","F","1. HS",142866,"7_>65","Y","D","","N","Retired","1Low","Owner","South","B"
"N","F","1. HS",0,"6_<=65","Y","J","","N","Sales/Service","1Low","Owner","South","A"
"Y","F","1. HS",517488,"4_<=45","Y","C","Married","U","Professional","1Low","Owner","Midwest","G"
"Y","F","2. Some College",198554,"1_Unk","Y","F","Married","U","Sales/Service","1Low","Renter","West","B"
"Y","M","1. HS",94350,"6_<=65","Y","I","Single","N","Sales/Service","1Low","Owner","Midwest","D"
"Y","M","2. Some College",0,"4_<=45","Y","E","Single","Y","Sales/Service","1Low","","West","D"
"N","M","2. Some College",248302,"5_<=55","Y","F","Married","N","Blue Collar","1Low","Owner","South","D"
"N","F","2. Some College",263692,"7_>65","Y","D","","N","Sales/Service","1Low","Owner","Midwest","H"
"N","M","4. Grad",294722,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","South","H"
"N","F","2. Some College",109708,"7_>65","Y","D","","N","Retired","1Low","Owner","South","B"
"N","M","1. HS",147477,"7_>65","Y","D","","N","Retired","1Low","Owner","South","B"
"N","M","2. Some College",133200,"7_>65","N","I","Married","N","Retired","1Low","Owner","Midwest","A"
"N","M","3. Bach",173702,"5_<=55","N","F","","N","Sales/Service","1Low","Owner","South","D"
"Y","F","2. Some College",382370,"5_<=55","Y","A","Single","U","Others","2Med","Owner","South","F"
"N","U","0. <HS",318080,"3_<=35","N","G","","Y","Others","1Low","Renter","West","D"
"Y","M","4. Grad",1119975,"5_<=55","N","B","Single","U","Professional","1Low","Owner","South","H"
"N","M","1. HS",63188,"1_Unk","Y","F","","Y","Farm","1Low","Owner","South","E"
"N","M","0. <HS",246700,"7_>65","Y","D","","N","Retired","1Low","Owner","South","C"
"Y","F","3. Bach",108269,"6_<=65","Y","F","","N","Sales/Service","1Low","Owner","West","D"
"Y","M","4. Grad",369543,"5_<=55","N","F","","Y","Professional","1Low","","West","E"
"Y","M","4. Grad",244269,"7_>65","Y","B","Married","N","Retired","1Low","Owner","South","F"
"Y","F","3. Bach",339535,"4_<=45","Y","E","","N","Professional","1Low","Owner","West","G"
"Y","F","2. Some College",0,"3_<=35","Y","F","Married","U","Professional","1Low","","Midwest","D"
"N","M","1. HS",163609,"7_>65","Y","J","Married","N","Retired","1Low","Owner","South","A"
"Y","M","0. <HS",310650,"4_<=45","Y","E","","Y","Blue Collar","3High","Owner","West","E"
"N","F","0. <HS",87995,"5_<=55","N","E","Single","Y","Sales/Service","1Low","Owner","South","G"
"Y","M","3. Bach",330847,"4_<=45","Y","C","Married","Y","Sales/Service","1Low","Owner","Midwest","H"
"N","F","3. Bach",398678,"3_<=35","Y","E","Married","N","Blue Collar","1Low","Owner","Midwest","D"
"N","F","1. HS",25250,"1_Unk","N","G","","U","Blue Collar","1Low","Renter","Midwest","D"
"Y","M","3. Bach",320460,"3_<=35","Y","C","Married","Y","Professional","1Low","Owner","Midwest","H"
"Y","M","1. HS",236355,"6_<=65","Y","B","","Y","Sales/Service","1Low","Owner","Midwest","F"
"N","F","4. Grad",275464,"5_<=55","Y","C","","N","Professional","1Low","Owner","South","G"
"Y","F","4. Grad",970100,"5_<=55","Y","A","Single","N","Professional","1Low","Owner","Northeast","F"
"N","F","0. <HS",0,"1_Unk","N","H","Married","N","Sales/Service","1Low","Renter","Midwest","A"
"Y","M","4. Grad",180940,"4_<=45","Y","E","Married","U","Sales/Service","2Med","Owner","Midwest","E"
"Y","M","3. Bach",409859,"4_<=45","Y","C","Married","U","Professional","1Low","Owner","Northeast","G"
"Y","M","1. HS",250089,"7_>65","Y","B","","N","Sales/Service","1Low","Owner","Midwest","C"
"Y","U","3. Bach",294300,"1_Unk","Y","F","","N","Sales/Service","2Med","Owner","South","F"
"Y","M","3. Bach",110839,"6_<=65","Y","H","Married","N","Retired","1Low","Owner","South","D"
"Y","F","3. Bach",0,"4_<=45","Y","H","Married","U","Professional","1Low","Owner","West","F"
"N","F","4. Grad",174018,"5_<=55","Y","D","","N","Professional","1Low","Owner","Midwest","G"
"Y","M","1. HS",0,"5_<=55","Y","E","Married","Y","Blue Collar","1Low","Owner","Midwest","G"
"N","M","2. Some College",449352,"4_<=45","N","C","Married","Y","Blue Collar","3High","Owner","West","G"
"Y","M","2. Some College",141536,"4_<=45","Y","I","","U","Blue Collar","1Low","","West","F"
"N","M","2. Some College",0,"6_<=65","Y","G","Married","U","Others","1Low","Renter","South","E"
"Y","F","0. <HS",0,"1_Unk","N","G","Single","U","Sales/Service","1Low","Renter","South","F"
"N","M","3. Bach",76910,"5_<=55","N","G","","N","Blue Collar","1Low","Owner","South","D"
"Y","F","4. Grad",110771,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","South","F"
"Y","M","4. Grad",812595,"6_<=65","Y","B","Married","N","Professional","3High","Owner","South","J"
"N","M","2. Some College",182662,"3_<=35","N","H","","N","Sales/Service","1Low","Owner","South","D"
"N","M","1. HS",111180,"6_<=65","Y","J","Married","N","Blue Collar","1Low","Owner","South","B"
"N","F","2. Some College",355296,"1_Unk","Y","F","Married","N","Sales/Service","1Low","","South","G"
"Y","M","1. HS",155673,"6_<=65","Y","I","Married","Y","Blue Collar","1Low","","South","E"
"N","M","3. Bach",333540,"7_>65","Y","H","Married","N","Sales/Service","1Low","Owner","West","E"
"Y","F","0. <HS",459326,"4_<=45","Y","C","","Y","Sales/Service","3High","Owner","Northeast","F"
"Y","F","3. Bach",208752,"5_<=55","Y","E","Married","N","Professional","1Low","Owner","South","D"
"Y","F","1. HS",0,"1_Unk","N","F","Married","Y","Sales/Service","1Low","Owner","South","E"
"N","M","2. Some College",321419,"3_<=35","Y","E","","Y","Professional","1Low","Owner","South","E"
"Y","F","3. Bach",306464,"6_<=65","Y","D","","N","Professional","2Med","Owner","Midwest","F"
"Y","M","2. Some College",743680,"3_<=35","Y","A","Married","Y","Blue Collar","1Low","Renter","Northeast","F"
"N","F","3. Bach",302148,"3_<=35","Y","C","Married","Y","Professional","3High","Owner","South","G"
"N","F","1. HS",119954,"7_>65","Y","E","Married","Y","Retired","1Low","Owner","South","E"
"N","F","3. Bach",475349,"4_<=45","Y","B","Married","Y","Sales/Service","3High","Owner","South","L"
"Y","M","3. Bach",479338,"5_<=55","Y","C","Married","Y","Sales/Service","1Low","Owner","Midwest","J"
"N","F","0. <HS",185518,"1_Unk","N","G","","Y","Sales/Service","1Low","Renter","South","D"
"N","F","1. HS",526252,"7_>65","Y","B","","N","Retired","1Low","Owner","Northeast","F"
"Y","F","2. Some College",187398,"4_<=45","Y","E","Married","Y","Professional","1Low","Owner","South","E"
"N","M","0. <HS",0,"6_<=65","N","E","","U","Others","1Low","","Northeast","C"
"Y","M","3. Bach",245250,"4_<=45","Y","C","Married","Y","Professional","1Low","Owner","Midwest","G"
"N","M","1. HS",474967,"1_Unk","Y","B","Married","Y","Professional","3High","Owner","West","H"
"Y","M","2. Some College",133067,"1_Unk","Y","F","Married","U","Others","1Low","Owner","South","E"
"N","F","3. Bach",169287,"7_>65","Y","D","","N","Retired","1Low","Owner","South","D"
"Y","M","3. Bach",515025,"5_<=55","Y","B","Married","U","Sales/Service","3High","Owner","South","H"
"Y","M","2. Some College",291476,"5_<=55","N","E","Married","Y","Sales/Service","2Med","Owner","West","E"
"N","M","3. Bach",225630,"3_<=35","Y","E","","N","Sales/Service","1Low","Owner","South","G"
"Y","M","1. HS",94077,"3_<=35","N","G","Single","U","Blue Collar","1Low","Renter","South","E"
"Y","F","4. Grad",421721,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","Midwest","E"
"Y","F","3. Bach",126712,"7_>65","N","D","","N","Sales/Service","1Low","Owner","West","F"
"N","M","1. HS",348582,"5_<=55","N","F","Married","Y","Blue Collar","1Low","Owner","West","E"
"Y","M","2. Some College",0,"1_Unk","N","G","Single","U","Sales/Service","1Low","Renter","Midwest","G"
"Y","M","4. Grad",465788,"6_<=65","Y","B","Married","U","Professional","1Low","","South","L"
"Y","M","3. Bach",919080,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Midwest","A"
"N","F","3. Bach",0,"3_<=35","Y","C","Married","Y","Professional","1Low","Renter","Northeast","H"
"Y","F","0. <HS",0,"7_>65","Y","H","Married","N","Retired","1Low","Renter","West","B"
"Y","M","3. Bach",0,"1_Unk","Y","H","Married","Y","Sales/Service","1Low","Renter","South","A"
"N","F","2. Some College",55606,"2_<=25","N","I","","Y","Sales/Service","1Low","Owner","South","F"
"N","M","3. Bach",465648,"7_>65","Y","E","","U","Retired","2Med","Owner","West","F"
"N","M","0. <HS",297766,"7_>65","N","B","","U","Retired","1Low","Owner","Midwest","F"
"N","M","0. <HS",182509,"3_<=35","Y","I","Married","N","Professional","1Low","Owner","Northeast","E"
"N","F","1. HS",0,"1_Unk","N","G","","N","Sales/Service","1Low","","Northeast","C"
"N","U","4. Grad",258984,"1_Unk","N","G","","U","Sales/Service","1Low","","West","D"
"N","F","2. Some College",313571,"7_>65","Y","B","","N","Retired","1Low","Owner","South","C"
"Y","M","",239800,"1_Unk","Y","C","","Y","Others","2Med","Owner","South","E"
"N","U","1. HS",672878,"1_Unk","N","C","Married","U","Professional","3High","Owner","Northeast","F"
"N","M","3. Bach",376911,"3_<=35","Y","B","Married","N","Professional","1Low","Owner","Midwest","F"
"N","F","2. Some College",142833,"7_>65","N","I","Married","U","Retired","1Low","Renter","South","D"
"N","F","0. <HS",53280,"7_>65","N","J","","Y","Retired","1Low","Owner","South","F"
"N","M","2. Some College",280762,"2_<=25","Y","F","","U","Sales/Service","1Low","Owner","South","F"
"Y","M","3. Bach",0,"1_Unk","Y","C","Married","U","Professional","1Low","Owner","Northeast","F"
"Y","M","2. Some College",283509,"2_<=25","Y","E","","N","Sales/Service","1Low","Owner","West","G"
"N","M","2. Some College",0,"3_<=35","N","C","Single","Y","Sales/Service","1Low","","South","H"
"N","M","2. Some College",271846,"6_<=65","Y","I","Married","N","Professional","1Low","Owner","Northeast","F"
"Y","F","2. Some College",115839,"5_<=55","Y","F","Married","Y","Sales/Service","1Low","Owner","Midwest","E"
"Y","M","2. Some College",658578,"2_<=25","Y","B","","N","Professional","1Low","Owner","South","J"
"N","F","3. Bach",248670,"4_<=45","Y","B","Married","Y","Sales/Service","2Med","Owner","South","F"
"N","M","2. Some College",204240,"2_<=25","N","I","","N","Sales/Service","1Low","Owner","Midwest","C"
"N","M","2. Some College",154560,"4_<=45","Y","C","Married","Y","Blue Collar","1Low","Owner","South","E"
"Y","M","3. Bach",861743,"7_>65","Y","B","Married","N","Professional","1Low","Owner","South","L"
"N","M","2. Some College",597429,"6_<=65","N","D","Married","N","Professional","2Med","Owner","West","G"
"N","M","0. <HS",101827,"2_<=25","Y","J","","N","Blue Collar","1Low","Owner","South","D"
"Y","M","3. Bach",534154,"6_<=65","Y","I","Married","N","Professional","3High","Owner","South","C"
"Y","M","1. HS",526551,"5_<=55","N","A","Married","U","Professional","3High","Owner","West","C"
"Y","M","3. Bach",414927,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","South","I"
"N","M","1. HS",100694,"7_>65","Y","I","Married","N","Retired","1Low","Owner","Midwest","B"
"N","M","2. Some College",83664,"5_<=55","Y","J","Married","U","Professional","1Low","Owner","South","E"
